network,center,value
DMN_R,50,1
DMN_R,150,1
DMN_R,250,1
DMN_R,350,1
DMN_R,450,1
DMN_R,550,1
DMN_R,650,1
DMN_R,750,1
DMN_R,850,1
DMN_R,950,1
DMN_R,1050,1
FPN_R,50,1
FPN_R,150,1
FPN_R,250,1
FPN_R,350,1
FPN_R,450,1
FPN_R,550,1
FPN_R,650,1
FPN_R,750,1
FPN_R,850,1
FPN_R,950,1
FPN_R,1050,1
FPN_R,1150,1
FPN_R,1250,1
FPN_R,1350,1
FPN_R,1450,1
FPN_R,1550,1
FPN_R,1650,1
FPN_R,1750,1
FPN_R,1850,1
MFN_R,50,1
MFN_R,150,1
MFN_R,250,1
MFN_R,350,1
MFN_R,450,1
MFN_R,550,1
MFN_R,650,1
MFN_R,750,1
MFN_R,850,1
MFN_R,950,1
MON_R,50,1
MON_R,150,1
MON_R,250,1
MON_R,350,1
MON_R,450,1
MON_R,550,1
MON_R,650,1
MON_R,750,1
MON_R,850,1
MON_R,950,1
MON_R,1050,1
MON_R,1150,1
MON_R,1250,1
MON_R,1350,1
MON_R,1450,1
MON_R,1550,1
MON_R,1650,1
MON_R,1750,1
MON_R,1850,1
MON_R,1950,1
MON_R,2050,1
MON_R,2150,1
MON_R,2250,1
MON_R,2350,1
MON_R,2450,1
SC_R,50,1
SC_R,150,1
SC_R,250,1
SC_R,350,1
SC_R,450,1
SC_R,550,1
SC_R,650,1
SC_R,750,1
SC_R,850,1
SC_R,950,1
SC_R,1050,1
SC_R,1150,1
SC_R,1250,1
SC_R,1350,1
SC_R,1450,1
SC_R,1550,1
SC_R,1650,1
SC_R,1750,1
SC_R,1850,1
SC_R,1950,1
SC_R,2050,1
SC_R,2150,1
SC_R,2250,1
SC_R,2350,1
SC_R,2450,1
SC_R,2550,1
SC_R,2650,1
SC_R,2750,1
SC_R,2850,1
SC_R,2950,1
SC_R,3050,1
SC_R,3150,1
SC_R,3250,1
SC_R,3350,1
SC_R,3450,1
SC_R,3550,1
SC_R,3650,1
SC_R,3750,1
SC_R,3850,1
SC_R,3950,1
SC_R,4050,1
SC_R,4150,1
SC_R,4250,1
SC_R,4350,1
VA_R,50,1
VA_R,150,1
VA_R,250,1
VA_R,350,1
VA_R,450,1
VA_R,550,1
VA_R,650,1
VA_R,750,1
VA_R,850,1
Vis1_R,50,1
Vis1_R,150,1
Vis1_R,250,1
Vis1_R,350,1
Vis1_R,450,1
Vis1_R,550,1
Vis1_R,650,1
Vis1_R,750,1
Vis1_R,850,1
Vis1_R,950,1
Vis2_R,50,1
Vis2_R,150,1
Vis2_R,250,1
Vis2_R,350,1
Vis2_R,450,1
Vis2_L,50,1
Vis2_L,150,1
Vis2_L,250,1
Vis2_L,350,1
Vis1_L,50,1
Vis1_L,150,1
Vis1_L,250,1
Vis1_L,350,1
Vis1_L,450,1
Vis1_L,550,1
Vis1_L,650,1
Vis1_L,750,1
VA_L,50,1
VA_L,150,1
VA_L,250,1
VA_L,350,1
VA_L,450,1
VA_L,550,1
VA_L,650,1
VA_L,750,1
VA_L,850,1
SC_L,50,1
SC_L,150,1
SC_L,250,1
SC_L,350,1
SC_L,450,1
SC_L,550,1
SC_L,650,1
SC_L,750,1
SC_L,850,1
SC_L,950,1
SC_L,1050,1
SC_L,1150,1
SC_L,1250,1
SC_L,1350,1
SC_L,1450,1
SC_L,1550,1
SC_L,1650,1
SC_L,1750,1
SC_L,1850,1
SC_L,1950,1
SC_L,2050,1
SC_L,2150,1
SC_L,2250,1
SC_L,2350,1
SC_L,2450,1
SC_L,2550,1
SC_L,2650,1
SC_L,2750,1
SC_L,2850,1
SC_L,2950,1
SC_L,3050,1
SC_L,3150,1
SC_L,3250,1
SC_L,3350,1
SC_L,3450,1
SC_L,3550,1
SC_L,3650,1
SC_L,3750,1
SC_L,3850,1
SC_L,3950,1
SC_L,4050,1
SC_L,4150,1
SC_L,4250,1
SC_L,4350,1
SC_L,4450,1
SC_L,4550,1
MON_L,50,1
MON_L,150,1
MON_L,250,1
MON_L,350,1
MON_L,450,1
MON_L,550,1
MON_L,650,1
MON_L,750,1
MON_L,850,1
MON_L,950,1
MON_L,1050,1
MON_L,1150,1
MON_L,1250,1
MON_L,1350,1
MON_L,1450,1
MON_L,1550,1
MON_L,1650,1
MON_L,1750,1
MON_L,1850,1
MON_L,1950,1
MON_L,2050,1
MON_L,2150,1
MON_L,2250,1
MON_L,2350,1
MON_L,2450,1
MFN_L,50,1
MFN_L,150,1
MFN_L,250,1
MFN_L,350,1
MFN_L,450,1
MFN_L,550,1
MFN_L,650,1
MFN_L,750,1
MFN_L,850,1
MFN_L,950,1
MFN_L,1050,1
MFN_L,1150,1
MFN_L,1250,1
MFN_L,1350,1
MFN_L,1450,1
MFN_L,1550,1
MFN_L,1650,1
MFN_L,1750,1
MFN_L,1850,1
FPN_L,50,1
FPN_L,150,1
FPN_L,250,1
FPN_L,350,1
FPN_L,450,1
FPN_L,550,1
FPN_L,650,1
FPN_L,750,1
FPN_L,850,1
FPN_L,950,1
FPN_L,1050,1
FPN_L,1150,1
FPN_L,1250,1
FPN_L,1350,1
FPN_L,1450,1
DMN_L,50,1
DMN_L,150,1
DMN_L,250,1
DMN_L,350,1
DMN_L,450,1
DMN_L,550,1
DMN_L,650,1
DMN_L,750,1
DMN_L,850,1
